order_id,order_date,amount,product_id
1000,2023-11-24,183.47,8
1001,2023-02-27,187.04,3
1002,2023-01-13,862.74,5
1003,2024-01-15,643.35,3
1004,2023-05-21,826.42,4
1005,2023-05-06,756.76,9
1006,2023-04-25,582.61,9
1007,2023-03-13,975.8,5
1008,2024-01-13,440.68,10
1009,2023-02-22,596.84,7
1010,2023-12-13,846.46,10
1011,2024-01-15,656.67,7
1012,2023-10-07,875.54,6
1013,2023-02-14,619.62,4
1014,2023-10-30,734.11,3
1015,2023-08-05,141.24,9
1016,2023-01-17,305.11,8
1017,2023-01-16,360.45,2
1018,2023-02-17,171.81,1
1019,2023-04-22,309.51,2
1020,2023-04-30,190.9,3
1021,2023-09-16,350.18,3
1022,2023-11-05,672.12,7
1023,2023-01-14,428.35,10
1024,2023-10-15,433.16,2
1025,2023-04-12,288.56,7
1026,2024-01-02,340.28,7
1027,2023-11-29,942.99,10
1028,2023-12-26,683.23,8
1029,2023-10-07,648.22,9
1030,2023-08-03,254.02,5
1031,2023-04-23,756.21,9
1032,2023-08-18,247.06,1
1033,2023-10-29,441.51,2
1034,2023-05-23,990.57,9
1035,2024-02-19,676.0,5
1036,2024-03-21,601.25,6
1037,2023-01-04,716.15,2
1038,2024-01-24,858.57,5
1039,2024-02-17,798.4,7
1040,2023-03-23,306.14,3
1041,2023-12-24,128.89,8
1042,2023-08-05,383.91,1
1043,2023-06-24,340.97,5
1044,2023-05-23,289.88,9
1045,2023-03-21,948.62,3
1046,2023-04-21,888.73,9
1047,2024-01-26,383.21,2
1048,2023-06-22,689.89,5
1049,2023-02-22,456.07,9
